concejo,num_locales,poblacion,anio,locales_por_1000hab
taramundi,4,545,2025,7.34
boal,6,1372,2025,4.37
proaza,3,686,2025,4.37
santa eulalia de oscos,1,420,2025,2.38
tapia de casariego,7,3538,2025,1.98
colunga,5,3143,2025,1.59
oviedo,353,223968,2025,1.58
sobrescobio,1,838,2025,1.19
castropol,3,3202,2025,0.94
nava,4,5244,2025,0.76
vegadeo,3,3928,2025,0.76
navia,6,8031,2025,0.75
gijón,158,269894,2025,0.59
avilés,42,75517,2025,0.56
llanes,4,13486,2025,0.3
villaviciosa,4,15379,2025,0.26
salas,1,4771,2025,0.21
gozón,2,10407,2025,0.19
cangas del narcea,2,11282,2025,0.18
ribadesella,1,5591,2025,0.18
pravia,1,7792,2025,0.13
tineo,1,8679,2025,0.12
grado,1,9681,2025,0.1
carreño,1,10292,2025,0.1
mieres,3,36373,2025,0.08
langreo,3,38612,2025,0.08
llanera,1,14020,2025,0.07
siero,1,53049,2025,0.02
