osm_id,tipo_osm,amenity,nombre,cocina,ciudad,calle,cp,telefono,web,horario,lat,lon
255174168,node,bar,casa antidio,,gijón/xixón,,,,,,43.5394238,-5.6833283
255174169,node,bar,cervecería juar,,,,,,,,43.5398447,-5.6834488
480729340,node,bar,triskel,,,,,,,,43.4177954,-4.7545573
480729342,node,bar,dorado,,,,,,,,43.4184653,-4.7543125
481013818,node,bar,madison,,,,,,,,43.4177703,-4.7535159
481013819,node,bar,la casi llena,,,,,,,,43.4186909,-4.753715
481013821,node,bar,bitacora,,llanes,,,,,,43.4193878,-4.7539452
481013822,node,bar,el muelle,,,,,,,,43.4194609,-4.7540012
481013828,node,bar,rocamar,,,,,,,,43.4223263,-4.7576291
481013829,node,bar,el latino,,,,,,,,43.4224241,-4.7579908
481013831,node,bar,crystal,,,,,,,,43.422323,-4.7582466
487434182,node,bar,cotiellu,,,,,,,,43.4199791,-4.7559177
487434186,node,bar,l'esbardu,,,,,,,,43.4200415,-4.7555492
489290756,node,bar,matute,,,,,,,,43.4196281,-4.7536331
489290757,node,bar,xana,,,,,,,,43.4195922,-4.7537374
489290758,node,bar,el asturcon,,,,,,,,43.4194123,-4.7527237
490970915,node,bar,el fresnu,,,,,,,,43.406213,-4.777582
492188502,node,bar,mari,,,,,,,,43.3930956,-4.9447387
504038436,node,bar,bar caracas,,,,,,,,43.4277174,-4.8093273
504154544,node,bar,el paso,,,,,,,,43.4240561,-4.783069
921316018,node,bar,bar cantábrico,,,,,,,,43.4310547,-4.8083774
949020493,node,bar,la bodega de davíd,,,,,,,,43.5383035,-5.6845584
949050890,node,bar,ares,,,,,,,,43.5364661,-5.6849255
949050892,node,bar,sidrería jose,,,,,,,,43.5385156,-5.6858403
949050897,node,bar,el teyaín,,,,,,,,43.5389021,-5.6855989
950757292,node,bar,sidrería pancho,,,,,,,,43.5401194,-5.6882074
971053414,node,bar,bar sidreria mari,,,,,,,,43.5359279,-5.6824889
978073667,node,bar,chafariz,,,,,,,,43.5420442,-5.6678115
995060797,node,bar,taberna 4 calles,,oviedo / uviéu,Plaza de la Constitución,33009,+34 615 86 29 28,,,43.3602512,-5.844526
995060814,node,bar,cervecería café tamargo,,oviedo,Plaza Benito Gallego Casado,33009,,,,43.3597693,-5.8398202
995060816,node,bar,la cbb,,oviedo / uviéu,,,,,,43.3602347,-5.8399853
1001588428,node,bar,el baruku,,,,,,,,43.5420347,-5.6667496
1001588459,node,bar,the transport,,,,,,,,43.5418414,-5.667581
1036378110,node,bar,la loca del moño,,,,,,,,43.393494,-5.6612873
1052453362,node,bar,rincon del artista,,,,,,,,43.5419106,-5.6666629
1052453397,node,bar,alter ego,,,,,,,,43.5414821,-5.6702718
1052453590,node,bar,la bodeguita del medio,,,,,,,,43.5416603,-5.6701978
1052453666,node,bar,el rincon de chus,,,,,,,,43.5417882,-5.666596
1222598759,node,bar,la aduana,,,,,,,,43.5421753,-5.666804
1239381993,node,bar,la cuenta de la vieja,,gijón/xixón,,,,,,43.5450219,-5.6631383
1272041173,node,bar,zona zero,burger,,,,,,,43.4183021,-4.7542146
1272041174,node,bar,el nidu,,,,,,,,43.4186156,-4.7545208
